fixture_id,matched_parent_count,null_children_per_parent,finite,boundary_rate,winner_N,local_closure_p
SYN-01,12.0,127,True,0.0,12,0.29770491803278687
SYN-02,12.0,127,True,0.0,14,0.0006557377049180328
SYN-03,12.0,127,True,0.0,14,0.0006557377049180328
SYN-04,12.0,127,True,0.0,11,0.0006557377049180328
SYN-05,12.0,127,True,0.0,11,0.0006557377049180328
SYN-06,12.0,127,True,0.0,11,0.0006557377049180328
SYN-07,12.0,127,True,0.0,12,0.0006557377049180328
SYN-08,12.0,127,True,0.0,12,0.0006557377049180328
SYN-09,12.0,127,True,0.0,11,0.0006557377049180328
SYN-10,12.0,127,True,0.0,12,0.0006557377049180328
SYN-11,12.0,127,True,0.0,14,0.0006557377049180328
SYN-12,12.0,127,True,0.0,12,0.0006557377049180328
SYN-13,12.0,127,True,0.0,11,0.0006557377049180328
SYN-14,12.0,127,True,0.0,11,0.0006557377049180328
SYN-15,12.0,127,True,0.0,14,0.0006557377049180328
SYN-16,12.0,127,True,0.0,14,0.0006557377049180328
SYN-17,12.0,127,True,0.37401574803149606,10,0.0006557377049180328
SYN-18,12.0,127,True,0.3779527559055118,13,0.18032786885245902
SYN-19,12.0,127,True,0.0,11,0.0006557377049180328
SYN-20,12.0,127,True,0.0,11,0.0006557377049180328
SYN-21,12.0,127,True,0.0,11,0.0006557377049180328
SYN-22,12.0,127,True,0.0,12,0.0006557377049180328
SYN-23,12.0,127,True,0.0,11,0.0006557377049180328
SYN-24,12.0,127,True,0.0,12,0.0006557377049180328
SYN-25,12.0,127,True,0.0,10,0.0006557377049180328
