station,N,block_persistence,normalized_lag_closure_error,ordinary_lag_autocorrelation,status
Aotizhongxin,4,-0.03064911747665044,1.4549327384471626,-0.06262585993918761,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,5,-0.014038795279525448,1.425742317103347,-0.018465646340166918,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,6,0.04239856567027825,1.4126249437117562,-0.0036785253345312163,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,7,0.05121368162670766,1.4034939173515486,0.009658669929003097,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,8,0.08523223531221409,1.3845388447388112,0.036346392586331475,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,9,0.09032450577931139,1.3806425798184407,0.04261774779796481,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,10,0.028324471031466982,1.3921679674222156,0.026898573232410822,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,11,0.003981652392786136,1.3939288137290942,0.025015465235587852,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,12,0.06922958596102723,1.4043533668105648,0.010033360589158907,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,13,0.037786416000372726,1.405040760514547,0.006071305941514903,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,14,0.09911133690934504,1.3787576617940094,0.03866407965066429,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,15,0.032485880261786226,1.3755755033564812,0.04251848579603779,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,16,-0.008840107033535084,1.42585021901847,-0.025566566623121886,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,17,0.05728717626093531,1.4337125117778005,-0.03777241111125697,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,18,0.0489937672242214,1.4322388258484355,-0.033466722745349085,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,19,0.0056351366911114404,1.407065172356508,0.0049050185413175105,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,20,0.12086777333661683,1.4145644938568789,-0.009964245743715731,POST_HOC_DIAGNOSTIC_ONLY
Changping,4,0.016501837385974806,1.4501263738751062,-0.05265485279771402,POST_HOC_DIAGNOSTIC_ONLY
Changping,5,0.005783643243633777,1.414799796382606,-0.0016217017347043008,POST_HOC_DIAGNOSTIC_ONLY
